Province to,Province from,Population group,Sex,Age group,Absolute flow
1,2,1,1,1,3130.75
1,3,1,1,1,143.817
1,4,1,1,1,50.3913
1,5,1,1,1,160.285
1,6,1,1,1,20.3813
1,7,1,1,1,440.417
1,8,1,1,1,1.75054
1,9,1,1,1,0
1,2,1,1,2,16532.8
1,3,1,1,2,355.47
1,4,1,1,2,647.88
1,5,1,1,2,580.083
1,6,1,1,2,340.305
1,7,1,1,2,3154.66
1,8,1,1,2,587.706
1,9,1,1,2,272.955
1,2,1,1,3,3042.41
1,3,1,1,3,101.798
1,4,1,1,3,161.091
1,5,1,1,3,317.362
1,6,1,1,3,82.6891
1,7,1,1,3,1398.15
1,8,1,1,3,210.771
1,9,1,1,3,204.17
1,2,1,1,4,331.7
1,3,1,1,4,0
1,4,1,1,4,0
1,5,1,1,4,0
1,6,1,1,4,18.4785
1,7,1,1,4,34.3741
1,8,1,1,4,0
1,9,1,1,4,16.3314
1,2,1,2,1,3580.7
1,3,1,2,1,64.1715
1,4,1,2,1,98.6024
1,5,1,2,1,153.464
1,6,1,2,1,180.742
1,7,1,2,1,603.491
1,8,1,2,1,63.3252
1,9,1,2,1,36.886
1,2,1,2,2,17015.1
1,3,1,2,2,414.91
1,4,1,2,2,376.593
1,5,1,2,2,704.259
1,6,1,2,2,230.093
1,7,1,2,2,2190.35
1,8,1,2,2,386.489
1,9,1,2,2,266.194
1,2,1,2,3,3116.09
1,3,1,2,3,34.6023
1,4,1,2,3,83.4199
1,5,1,2,3,221.955
1,6,1,2,3,74.3638
1,7,1,2,3,658.246
1,8,1,2,3,137.262
1,9,1,2,3,36.3896
1,2,1,2,4,1251.72
1,3,1,2,4,0
1,4,1,2,4,0
1,5,1,2,4,0
1,6,1,2,4,0
1,7,1,2,4,10.9604
1,8,1,2,4,0
1,9,1,2,4,0
2,1,1,1,1,4572.59
2,3,1,1,1,0
2,4,1,1,1,253.656
2,5,1,1,1,1066.71
2,6,1,1,1,297.765
2,7,1,1,1,2031.6
2,8,1,1,1,193.648
2,9,1,1,1,14.4673
2,1,1,1,2,6876.83
2,3,1,1,2,137.498
2,4,1,1,2,772.795
2,5,1,1,2,3219.98
2,6,1,1,2,717.268
2,7,1,1,2,5734.49
2,8,1,1,2,528.778
2,9,1,1,2,357.351
2,1,1,1,3,3152.94
2,3,1,1,3,52.6291
2,4,1,1,3,282.855
2,5,1,1,3,949.594
2,6,1,1,3,426.649
2,7,1,1,3,2247.58
2,8,1,1,3,202.839
2,9,1,1,3,72.3732
2,1,1,1,4,703.072
2,3,1,1,4,10.4687
2,4,1,1,4,107.891
2,5,1,1,4,168.617
2,6,1,1,4,90.6499
2,7,1,1,4,661.928
2,8,1,1,4,92.5322
2,9,1,1,4,32.0583
2,1,1,2,1,4244.58
2,3,1,2,1,0
2,4,1,2,1,123.47
2,5,1,2,1,1148.54
2,6,1,2,1,219.281
2,7,1,2,1,2179.58
2,8,1,2,1,126.409
2,9,1,2,1,0
2,1,1,2,2,6400.93
2,3,1,2,2,161.653
2,4,1,2,2,719.786
2,5,1,2,2,3241.28
2,6,1,2,2,737.441
2,7,1,2,2,4109.65
2,8,1,2,2,429.168
2,9,1,2,2,212.342
2,1,1,2,3,2151.12
2,3,1,2,3,37.5035
2,4,1,2,3,222.536
2,5,1,2,3,852.541
2,6,1,2,3,165.526
2,7,1,2,3,1506.96
2,8,1,2,3,66.8783
2,9,1,2,3,23.2716
2,1,1,2,4,379.73
2,3,1,2,4,7.84754
2,4,1,2,4,10.603
2,5,1,2,4,212.864
2,6,1,2,4,0
2,7,1,2,4,442.913
2,8,1,2,4,12.8448
2,9,1,2,4,0
3,1,1,1,1,112.995
3,2,1,1,1,41.1395
3,4,1,1,1,218.49
3,5,1,1,1,53.4026
3,6,1,1,1,602.764
3,7,1,1,1,209.752
3,8,1,1,1,19.7792
3,9,1,1,1,39.0846
3,1,1,1,2,338.398
3,2,1,1,2,985.142
3,4,1,1,2,956.776
3,5,1,1,2,147.871
3,6,1,1,2,2932.98
3,7,1,1,2,1009.2
3,8,1,1,2,147.772
3,9,1,1,2,237.218
3,1,1,1,3,303.832
3,2,1,1,3,205.664
3,4,1,1,3,408.276
3,5,1,1,3,20.4403
3,6,1,1,3,649.551
3,7,1,1,3,528.412
3,8,1,1,3,51.7871
3,9,1,1,3,148.482
3,1,1,1,4,0
3,2,1,1,4,40.4956
3,4,1,1,4,42.2119
3,5,1,1,4,35.496
3,6,1,1,4,94.4942
3,7,1,1,4,14.8083
3,8,1,1,4,3.92422
3,9,1,1,4,0
3,1,1,2,1,163.793
3,2,1,2,1,74.5016
3,4,1,2,1,140.997
3,5,1,2,1,26.6778
3,6,1,2,1,266.681
3,7,1,2,1,221.911
3,8,1,2,1,54.0757
3,9,1,2,1,14.0805
3,1,1,2,2,182.408
3,2,1,2,2,265.909
3,4,1,2,2,464.74
3,5,1,2,2,43.6609
3,6,1,2,2,2117.93
3,7,1,2,2,568.883
3,8,1,2,2,76.852
3,9,1,2,2,200.811
3,1,1,2,3,172.076
3,2,1,2,3,84.9712
3,4,1,2,3,135.683
3,5,1,2,3,69.4378
3,6,1,2,3,459.268
3,7,1,2,3,147.918
3,8,1,2,3,71.5947
3,9,1,2,3,50.8388
3,1,1,2,4,11.765
3,2,1,2,4,0
3,4,1,2,4,16.9321
3,5,1,2,4,0
3,6,1,2,4,18.1232
3,7,1,2,4,40.8859
3,8,1,2,4,0
3,9,1,2,4,0
4,1,1,1,1,100.896
4,2,1,1,1,192.765
4,3,1,1,1,70.7195
4,5,1,1,1,109.179
4,6,1,1,1,220.084
4,7,1,1,1,1024.47
4,8,1,1,1,144.461
4,9,1,1,1,60.5548
4,1,1,1,2,143.901
4,2,1,1,2,1012.6
4,3,1,1,2,393.464
4,5,1,1,2,1227.41
4,6,1,1,2,1467.81
4,7,1,1,2,3471.11
4,8,1,1,2,554.555
4,9,1,1,2,571.83
4,1,1,1,3,94.4001
4,2,1,1,3,294.26
4,3,1,1,3,198.282
4,5,1,1,3,333.515
